pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw
-3.0097435e-05,-0.0030247048,-2.7453527e-05,-3.981455e-05,-0.00055886846,0.00011385509,0.9999999,-3.0864205e-05,0.00027526377,0.001886972,3.2198688e-05,-1.3033746e-05,-0.002852313,0.99999595
9.860378e-06,-0.003176761,0.0003083963,5.941963e-05,-0.0007883549,-1.262614e-05,0.9999997,7.2990035e-05,2.7343965e-05,0.0033061637,-0.0006458131,-0.001422783,-0.004737724,0.99998754
-8.308375e-05,-0.0031190529,0.0001511462,-0.00011031692,-0.00038409745,0.00023316662,0.99999994,0.00020708634,-0.00011104919,0.001801668,-0.0018838181,-0.00037653573,-0.001361544,0.9999972
-0.00018853939,-0.0030987354,0.00027490337,-3.0058607e-05,-0.00040305275,0.0002769234,0.9999999,0.00048076682,-0.0009814501,0.0016445637,-0.00063293485,0.00011022855,-0.0009156865,0.9999994
-0.00035992556,-0.0033083896,0.0006224753,-2.0495974e-05,-0.0004073678,0.00029809444,0.9999999,0.0003447464,-0.0009314289,0.0011439057,-0.0009864751,3.8487582e-05,0.00024651692,0.99999946
-0.00055108464,-0.003349008,0.0013128549,9.2367545e-06,-0.00037300226,0.00032480783,0.9999999,0.0003729248,-0.0008252715,0.00064057787,7.3408744e-05,0.0015872541,-0.00097583194,0.9999983
-0.002765466,0.0017661238,-0.0037368122,-0.02134129,0.0040147644,-0.015952019,0.99963695,-0.0014546209,-0.0066605555,0.012735632,-0.023520038,0.0048386045,-0.0147516485,0.9996028
0.01721283,0.0025785856,0.043058705,-0.34424335,0.07513944,-0.08476678,0.93202204,0.001816464,-0.005571774,0.0367703,-0.105168805,0.021362811,-0.019900575,0.9940257
0.007371519,-0.010120704,0.02470096,-0.29305074,0.07426879,-0.052965954,0.95173526,0.0042151855,0.001441367,0.022484642,-0.072061256,0.019434892,-0.015898349,0.9970841
0.027138066,0.012944267,0.027798504,-0.26097077,0.08984384,-0.06217768,0.9591436,0.009112407,0.003073077,0.033129957,-0.09718546,0.030320147,-0.025963748,0.9944655
-0.00035922567,0.0029245352,-0.0044030505,-0.044337902,0.024212413,-0.011836218,0.99865305,0.0044675726,0.001570213,0.009995383,-0.024232624,0.012810985,-0.0075101545,0.99959606
0.00030477974,0.003669711,-0.0008791229,-0.025927335,0.021065872,-0.0118688,0.9993714,0.0070343856,0.0019913213,0.012736784,-0.022350542,0.020733641,-0.012111652,0.99946177
0.0012453158,-0.0016997149,-0.0003900989,-0.0009867818,0.0034356369,-0.0018970727,0.9999918,0.005572133,0.0010316647,0.0064584794,-0.0023952187,0.014870677,-0.008507147,0.9998504
-0.0017059295,-0.0031833258,0.0024879302,0.0019110009,0.0005345834,-0.0002620305,0.999998,0.002366577,5.2205946e-06,0.0011376446,0.004645936,0.004546251,-0.0020728162,0.99997675
-0.0013823156,-0.0022407803,0.0013789895,0.010877799,0.0031211928,-4.0253497e-05,0.999936,0.0036235112,-0.0011362545,-0.00091281394,0.017029405,0.0049409335,-0.0014419155,0.99984175
-0.0013149773,-0.0009136048,-0.00026532076,0.020585543,-0.00031437012,0.0018021713,0.9997863,0.0012991643,-0.0026976,-0.0028258706,0.022922836,-0.0006906761,0.0006431221,0.9997368
-0.0013422089,-0.0012549503,0.0031694984,0.026203753,-0.005969324,0.002881031,0.9996346,-0.0005841069,-0.002006627,-0.002725172,0.017552173,-0.004407842,-0.0005222059,0.9998361
-0.00563743,0.0035714137,-0.003869345,0.14187013,-0.014717919,-0.010380945,0.9897215,-0.0035062362,-0.0070572277,-0.016895758,0.08169279,-0.01382811,-0.001878115,0.99655986
-0.0012086505,-0.007735501,0.0014731234,0.18045418,-0.008016271,0.0069978144,0.9835258,-0.0012505372,-0.0036268504,-0.0147679765,0.05905264,-0.004489413,0.0049464316,0.99823254
-0.0030845432,-0.009434228,-0.0127950385,0.25064406,-0.019672109,0.04722023,0.96672684,-0.0008906517,-0.0060142097,-0.027373848,0.09544936,-0.0063138218,0.023529159,0.99513614
